Time,GuHCl_Denature_A214,GuHCl_Denature_A280,Histone_A214,Histone_A280,Histone_Heat_Denatured_A214,Histone_Heat_Denatured_A280,GuHCl_Refolded_A214,GuHCl_Refolded_A280,SEC_Standard_A214,SEC_Standard_A280
0.2241666667,-1.220703125,-0.2956390381,-2.983570099,0.1330375671,-0.274181366,0.08726119995,-0.2508163452,0.0581741333,0.3190040588,0.1616477966
0.2308333333,-1.535415649,-0.298500061,-2.966403961,0.1330375671,-0.2956390381,0.08583068848,-0.2722740173,0.05626678467,0.3204345703,0.1573562622
0.2375,-1.918315887,-0.3004074097,-2.96163559,0.1339912415,-0.3051757813,0.08392333984,-0.2784729004,0.05435943604,0.307559967,0.1540184021
0.2441666667,-2.350330353,-0.3018379211,-2.982139587,0.1339912415,-0.3132820129,0.08392333984,-0.2889633179,0.05197525024,0.2989768982,0.1525878906
0.2508333333,-2.799034119,-0.3042221069,-3.017902374,0.1344680786,-0.2884864807,0.08535385132,-0.2932548523,0.05102157593,0.292301178,0.1525878906
0.2575,-3.266334534,-0.3085136414,-3.040790558,0.1368522644,-0.2636909485,0.08630752563,-0.3056526184,0.05149841309,0.316619873,0.1559257507
0.2641666667,-3.756999969,-0.3118515015,-3.070831299,0.1397132874,-0.2379417419,0.08773803711,-0.3170967102,0.05292892456,0.3457069397,0.1635551453
0.2708333333,-4.283905029,-0.3142356873,-3.092765808,0.1406669617,-0.2236366272,0.08916854858,-0.3271102905,0.05388259888,0.3657341003,0.1721382141
0.2775,-4.829406738,-0.316619873,-3.109455109,0.1401901245,-0.2241134644,0.08869171143,-0.3490447998,0.05435943604,0.3819465637,0.1797676086
0.2841666667,-5.386829376,-0.3218650818,-3.105640411,0.138759613,-0.2293586731,0.08535385132,-0.3609657288,0.05531311035,0.3848075867,0.1826286316
0.2908333333,-5.974292755,-0.3290176392,-3.086090088,0.1378059387,-0.2522468567,0.08058547974,-0.376701355,0.05531311035,0.3905296326,0.1835823059
0.2975,-6.587505341,-0.3347396851,-3.082752228,0.1382827759,-0.2627372742,0.07772445679,-0.3771781921,0.05483627319,0.3795623779,0.1845359802
0.3041666667,-7.241249084,-0.3380775452,-3.075122833,0.1397132874,-0.2746582031,0.07772445679,-0.3719329834,0.05435943604,0.3700256348,0.1831054688
0.3108333333,-7.913589478,-0.3418922424,-3.076076508,0.1425743103,-0.2827644348,0.07963180542,-0.3757476807,0.05483627319,0.3571510315,0.1816749573
0.3175,-8.6145401,-0.3480911255,-3.083229065,0.1444816589,-0.2765655518,0.08201599121,-0.3771781921,0.05578994751,0.3461837769,0.1816749573
0.3241666667,-9.346961975,-0.3547668457,-3.097057343,0.1463890076,-0.2698898315,0.084400177,-0.3743171692,0.05531311035,0.3476142883,0.1845359802
0.3308333333,-10.09893417,-0.3595352173,-3.1208992,0.1468658447,-0.2593994141,0.08678436279,-0.3485679626,0.05578994751,0.3433227539,0.1883506775
0.3375,-10.87808609,-0.3633499146,-3.130912781,0.1449584961,-0.2756118774,0.08678436279,-0.3294944763,0.05912780762,0.3361701965,0.1912117004
0.3441666667,-11.64913177,-0.3681182861,-3.150939941,0.1420974731,-0.2908706665,0.084400177,-0.3256797791,0.06294250488,0.3209114075,0.1940727234
0.3508333333,-12.42589951,-0.373840332,-3.161430359,0.1406669617,-0.3070831299,0.08249282837,-0.3347396851,0.06580352783,0.3185272217,0.1964569092
0.3575,-13.19074631,-0.3771781921,-3.172874451,0.141620636,-0.3190040588,0.08249282837,-0.358581543,0.06723403931,0.3309249878,0.1997947693
0.3641666667,-13.95082474,-0.3786087036,-3.186225891,0.1420974731,-0.3094673157,0.08392333984,-0.3924369812,0.06866455078,0.3471374512,0.2012252808
